source_text;ethno
ЗАВТРА <b>РОССИЯНЕ</b> БУДУТ ПРАЗДНОВАТЬ ДЕНЬ ФЛАГА,А В РОСТОВЕ ПРОЙДЕТ ТОРЖЕСТВЕННЫЙ МИТИНГ <br/>  <br/> Торжественный митинг общественности, приуроченный к празднованию Дня государственного флага РФ, пройдет в Ростове-на-Дону в субботу, 22 августа, под лозунгом «Верим в Россию! Верим в себя!». <br/> По традиции на митинг в честь Дня флага соберутся жители Ростова и области, представители трудовых коллективов и национально-культурных объединений, активисты общественных организаций, профсоюзов, казачество, депутатский корпус. <br/>  <br/> Место проведения: Театральная площадь (стела «Воинам – освободителям г. Ростова-на-Дону от немецко-фашистских захватчиков»). <br/> Начало в 10:00 ч.;кабардинец
Салам Алейкум. <br/> Нужна помощь нашему брату <br/> <b>Кабардинцу</b> из мало имущей <br/> семьи. В данный момент он находиться в <br/> Москве. Приехал на заработки, но он не <br/> может устроиться на нормальную работу так как у него проблемы со здоровьем . <br/> если есть возможность давайте поможем <br/> ему собрать 5000 рублей. на билет до <br/> ДОМА. я сам помогал, но сейчас чуть чуть <br/> с работой проблемы. он стесняется <br/> просить кого либо о помощи. 5469380040047697 сбербанк... кто сколько может. 89067836202 - номер для справок. ДжазакумуЛлаху Хъейран .;кабардинец
Эпатажный музыкант Стас Барецкий, которого <b>казаки</b> исключили из своих рядов после того, как он разгрыз зубами банки с импортным пивом в ходе совместного рейда, намерен продолжить поиск продукции из черного списка в одиночестве. «Нужно проводить конкретные действия, а не чеками апеллировать. Когда я;казак
[[id318107025|Руслан], <b>казахи</b> чепухи? Центральную азию узбеки и таджики держат?  <br/> ?? ?? ??  <br/> чего то все эти держатели в РФ бетон месят и улицы подметают? <br/>  <br/> Или это их хобби вне основной работы? ??;калмык
[[id314115725|Гусейн], Кумычка, в пяти поколениях, уважаю (а точнее отношусь уважительно) лакцев, <b>аварцев</b>, даргинцев, лезгинов, всех людей, не зависимости от нации и религии. <br/> ДлЯ меня нет такого понятия, как плохая нация, но есть понимание плохого человека.Пусть хоть сто плохих из одной нации попадется, сто превый будет хороший. <br/> Не судите нацию и людей судить не надо.На это Всевышний есть, он нас судья. <br/> Будьте благоразумны, все мы люди, все братья и сёстры;калмык
[[id147519995|Марчелло], Богатая земля,огромная территория,русские прав не имеют,даже территории официально закреплённой нет-вся Русь принадлежит русским,но коим образом?Есть <b>казахи</b>,узбеки,таджики,киргизы даже у евреев есть сво еврейская территория.Кстати полная путаница где кто,но всё это Россия?Получается что русские некое виртуальное собщество.Нужно ставить вопрос о пересмотре деления территории исделать толькоРусской в конституции закрепить это.А вот как же всё таки жидов от кормушки убрать то?;калмык
[[id251645103|Альбина], тебе на себя в зеркало смотреть не стыдно?!тебе что только не пишут.всякие ингушские черти у тебя пасутся и как мухи на говно на твою страничку слетаются и тебе плевать!покажи мне хоть одну страничку ингушки чтоб у неё такое писали <b>осетины</b> и она спокойно на это смотрела и не удаляла?ничтожества тьфу блядь;калмык
[[id10722607|Ильдар], причём здесь Золотая Орда? Ты хотя бы свою историю татарскую изучи :) <br/>  <br/> Алтайские татары — устаревшее название алтайцев. <br/> Горские татары — устаревшее название балкарцев и карачаевцев. <br/> Дагестанские татары — устаревшее название кумыков. <br/> Енисейские (минусинские, абаканские, ачинские) татары — устаревшие названия хакасов. <br/> Кавказские (закавказские, адербейджанские, азербайджанские) татары — устаревшее название <b>азербайджанцев</b>. <br/> Кундровские татары — устаревшее название карагашей. <br/> Кузнецкие татары — устаревшее название шорцев. <br/> Ногайские татары — устаревшее название ногайцев. <br/> Черневые татары — устаревшее название тубаларов. <br/> Чулымские татары — устаревшее название чулымцев.;поляк
<b>азерботам</b> дербента настанет конец скоро ...И обращаюсь к Лезгинским девушкам не имейте отношение с <b>азерботами</b> не позорьте нашу нацию!!!!;поляк
"[[id141216311|Татьяна], послушайте, уважаемая, давайте всех людей судить по национальности? вы не любите таджиков, кто-то не любит хохлов и евреев, кто-то не <b><font color=\#41A317\"">любит</font></b> греков, <b>америкосов</b>. Вы судите по национальности - вы потомок фюрера что ли? Какая разница имеет национальность человека, если человек (может быть, лично не знаю) хороший? Я знаю достаточно русских людей, которые мрази конченные, а знаю не русских людей, которые достойные люди. Вроде взрослая женщина, а рассуждения, ей Богу, как у ребёнка, да и грамотность тоже....""";даргинец
[[id154544545|Ирина], Захват тибета, закхват <b>Уйгуров</b>, Закхватили земли Алтацев смотри карту горный алтай на теритрии трех стран России Казахстана и Китая остались алтацы в Росиии.;даргинец
Сталин говорил про себя: Я РУССКИЙ ГРУЗИН! Русский это прилагательное ! Нет и не было такой национальности. Анты, скифы, тюрки, поморы, полехи, кержаки, поляки(Алтай!), и еще с сотню... И все мы русские, вместе с таджиками, грузинами, узбеками, <b>абхазцами</b>, казахами (КазачийСтан) ??;казак
"Когда <b>русский</b> <b>народ</b> напрягал до изнеможения все свои силы в борьбе с фашистской Германией, Сталин нашёл возможности и средства в ущерб фронту депортировать татар из Крыма. Для этого требовались большие заслуги, но не перед своей страной, а перед фашистами. Впрочем, этот народ никогда не считал Россию своей родиной, сотни лет нападал на её пределы, <b><font color=\#E42217\"">грабил</font></b> и убивал <b>русских</b> <b>людей</b>, уводил их в полон. Историческая память до сих пор отравляет их кровь ненавистью к нам. Никак не могут смириться с тем, что большинство населения Крыма - русские. <a href=\""http://rusvesna.su/news/1440313468\"" target=\""_blank\""><u>http://rusvesna.su/news/1440313468</u></a> #cc-32043191""";казах
"Исполняющий обязанности губернатора области Александр Козлов заочно поздравил <b>эвенков</b> с 80-летнем… <a href=\http://instagram.com/p/6tL1D0kZ0L/\"" target=\""_blank\""><u>http://instagram.com/p/6tL1D0kZ0L/</u></a>""";казах
Ты подрываешь своей пропагандой молодых <b>азербайджанцев</b> к тому что они должны дружить и учится у них!!! Может нам из своих школ выгнать наших учителей и поставить туда армяшек?! Не думаю...;казах
Рамазан, я знаю многих дагестанцов, они у нас не шумят не гадят, работают живут спокойно и если кто то из них хамил и был не прав то свои же ему предъявят ! мне со стороны виднее. Я также знаю русских с Кизляра у них много детишек, дом свои и машина,живут спокойно. Мне как то один <b>аварец</b> по имени Руслан сказал,что недолюбливает горцев,потомучто им говоришь что нельзя так делать а они все равно делают по своему, одним словом стадо баранов;казах
[[id205827091|Сони], кроме али,альберта и дугулубкова никого не знаю.махов пока не боец мма.если тебе начнут перечислять мощных и талантливых на одних даргинцев час придется потратить,а про остальных дагестанцев и <b>чеченцев</b> вообще молчу.так-то ингушей 500 000,но за последние пару лет они дали российскому мма братьев яндиевых,юнуса евлоева,ингисхана оздоева и еще 4-5 интересных бойцов.дело не в количестве,а школе.;казах
"У меня есть друг - <b>чеченец</b>, по имени Зелимхан. Его семья перебралась в Швецию, во время войны. Это самый гостеприимный народ, который я только знаю. Меня очаровывает кавказская культура, я задумываюсь о том, чтобы принять Ислам. Мы с Зелимом очень много тренируем борьбу, этот парень кидает меня направо - налево, благодаря ему я так хорошо держался в бою с Джонсом. Я попросил его семью найти мне девушку с Чечни, потому что я хочу иметь скромную жену, но они сказали, что не дадут девушку их народа в жены шведу. Я уважаю это, нам следует поучиться у них.  <br/>  <br/> © Александр \The Mauler\"" Густафссон""";россиянин
"<b>КАРЕЛЬСКИЕ</b> <b>РЕБЯТА</b> БУДУТ УЧИТЬСЯ У ОЛЕГА ТАБАКОВА <br/>  <br/> Из 24 ребят, набранных в Московскую театральную школу известного актера, режиссера и педагога, двое – наши земляки. <br/>  <br/> <a href=\http://ptzgovorit.ru/content/karelskie-rebyata-budut-uchitsya-u-olega-tabakova\"" target=\""_blank\""><u>http://ptzgovorit.ru/content/karelskie-rebyata-budut-uchitsya-u-olega-tabakova</u></a>""";кабардинец
"Ну основная масса кумыков проживает в Дагестане. Значит можно назвать кумыков дагестанцами, так как основная историческая территория проживания кумыков находится в Дагестане.  <br/> Логично. <br/> НО! <br/> \Дагестанец\"" можно перевести как <b>горец</b>, житель горной страны (тур: даг-гора  стан-страна), однако кумыки не называют себя <b>горцами</b>, наоборот жителями равнины, плоскости(я даже слышал версию что слово кумык- образовалось от слова хум(песок), а песок он у побережья, то есть на равнине). Поэтому определять нас дагестанцами, не подходит даже с понятия этимологической""";казак
"[[id245715139|Алан], я про это \а ну расскажи мне подробнее вот про это: Фарида Ингушская <br/> Была женщина по имени Аби. В то время была битва с <b>черкесами</b>. Вызывали самых сильных ингушей. А она могла на плечах понести корову или быка. И вот её отправили в мужской одежде типа это мужик. И вот она победила и когда они узнали, что это была женщина они испугались и подумали :\""Если у них такие сильные женщины, то какие же у них будут мужчины. \""И битва была на этом холме, в честь нее так и назвали этот холм.\""""";казах
[[id251717083|Магомед], там Чеченцы с другими кавказцами не делились все вместе воевали <b>Аварцы</b> Чеченцы адыги плечом к плечу друг друга перекрывая единственное место где Чеченцы отдельно воевали это когда имам уехал из чечни тогда этим воспользовались русские и отоковали Беной тогда 1700 чеченцев разбила 33000 тысячную армию и забрала в плен 1500 солдат когда об этом узнал Шамиль он сразу двинулся в Чечню но дошёл когда русские уже убижали;аварец
Гора Машук в Пятигорске. <br/> Высота 993,7 м. Памятник природы. <br/>  <br/> Название горы связывают с горской легендой о прекрасной девушке Машуко, плачущей об убитом старым Эльбрусом женихе Тау. Есть объяснение происхождения названия от кабардинских слов «маш» — просо и «ко» — долина, то есть долина, где сеяли просо. <br/>  <br/> По другой версии, гора получила название по имени <b>карачаевца</b> Мечука Хубиева. Легенда «О горе Машук» повествует о том, что житель Большого Карачая Мечука (Машуко) Хубиев из-за кровной мести переселился в одно из кабардинских сел в районе современного Пятигорска. Машуко был непревзойденным мастером оружейного дела.;аварец
Более 300 ненецких детей доставят из тундры в школы к 1 сентября;аварец
[[id253216990|Иван], Дорогие друзья!  <br/> 27 августа с площади Марии отправляется автобус в город Майкоп. Группа молодых ребят, которая занимается организацией джэгу каждую среду в Нальчике хочет организовать такой же вечер с молодежью города Майкоп . Эта поездка- это желание укрепить связи между <b>адыгами</b> и стремление к единению. Все желающие могут принять участие и поехать с нами. Есть автобус. Просьба взять адыгские флаги у кого они есть, и что касается одежды, постарайтесь соответствовать нормам наших Хабзэ.;аварец
"[[id97339440|Therapy], <b>жиду</b> это не понять1 Это я про новую Россию, а так с 17-года. К сти твоему любимому путину и медведеву это пришлось признать скрепя зубами. О еврейском фашизме! Унесшему невинных жизней больше чем во вторую мировую. Начиная с иудейской семейки Ельцына и его последователях было бы в Китае и Сингапуре и идиоту понятно, но россиякая ЖОП а даже таким ворам как сердючка, чубайс, васильева ордена дают. Васильеву вообще осовободили за то что она орден имеет ?? ?? <a href=\http://cs624122.vk.me/v624122771/43016/k2myvOqfFXQ.jpg\"" target=\""_blank\""><u>http://cs624122.vk.me/v624122771/43016/k2myvOqfFXQ.jpg</u></a>""";аварец
"[[id255895406|Андрей], узнай что такое девальвация , а потом хуйню пиши. ЖОПа страну 17-лет грабила, вместо того, чтобы заниматься сельским хозяйством и экономикой, тогда бы этот кризис так больно не ударил бы по большинству населения. У Назарбаева девальвация прошла на 25% и он людям сделал компенсации, а жидо-охамевшая влсть в России больше 100 % девольваця прошла и эти наглые без чести и совести своми картавыми рожами всем говорят, что все <b><font color=\#41A317\"">отлично</font></b> конечно <b>жидам</b> чем <b><font color=\""#E42217\"">хуже</font></b> тем <b><font color=\""#41A317\"">лучше</font></b>! Еще напищи что путин и медведев не вчем не виноваты со своим жидо -русофобским окружением.""";казах
"Артур не знаю кто ты по происхожлению но в то время была война и это обычная реакция на действия в те времена.Сейчас Баку это самый развитый город на кавказе и в целом в регионе.Если кто то пытается высосать проблему из пальца о это его личная обида.Учитывая то что в армении кроме <b>армян</b> никто не живет то Азербайджан на фоне этой страны это оплот толлерантности. <a href=\http://izrus.co.il/dvuhstoronka/article/2015-08-25/28640.html\"" target=\""_blank\""><u>http://izrus.co.il/dvuhstoronka/article/2015-08-25/28640.html</u></a> #cc-32194365""";казах
"Так и не понял, какая связь между Гулиевым и поставками горючего на фронт в 1942г.? <br/>  <br/> Из этих рассуждений можно сделать вывод, что выходцы из стран антигитлеровской коалиции, достойны быть главой администрации района, а потомки наций воевавших на стороне Гитлера (например финны) - не достойны. <br/> И если высказывания жителей района в адрес Гулиева, по свидетельству Метелевского, так <b><font color=\#E42217\"">раздражают</font></b> <b>азербайджанцев</b>, то зачем было провоцировать межнациональный конфликт, назначая главой над русско-карельским населением, <b>азербайджанца</b>? Приведите статистику: много ли в Азербайждане или в Чечне русских во власти?""";казах
Не думаю , что история правдива  <br/> (Немного перебрал : Люблю Махачкалу как мать родную) <br/> Но суть в том , что все именно так и обстоит  <br/> У нас в республике всякие <b>таджики</b> , вьетнамцы , узбеки и им подобные  <br/> А вы на русских гоните ? <br/> Продолжайте в том же духе , и через несколько лет эти народы начнут вытеснять нас с нашей родины  <br/> И вот тогда мы будем иммигрантами;казах
"[[id204419143|Бабек], очко закрой гнида сдохнешь в своем изербаджане...если бы не Путин вас бы давно армяне пере резали мрази !!!вы с каких пор стали мужиками ??ваши девушки приезжают в Дагестан чтобы гулят с мужиками это означает что <b>азерботы</b> <b><font color=\#E42217\"">пидарасы</font></b> !!""";казах
Влади?мир Васи?льевич Квачко?в О МИРОВЫХ САТАНИСТАХ! <br/> ОТВЕТ ЖУРНАЛИСТУ - НЕ ЕВРЕИ, НЕ ГРУЗИНЫ,  <br/> НЕ АРМЯНЕ, НЕ АЗЕРБАДЖАНЦЫ, НЕ <b>НЕГРЫ</b>,  <br/> НЕ КИТАЙЦЫ, НЕ ОТНОСЯТСЯ К КОРЕННОМУ НАРОДУ РОСИИ! <br/> ЭТИ ЧЕРНОЖОПЫЕ НЕ ЯВЛЯЮТСЯ КОРЕННЫМИ ЖИТЕЛЯМИ РОССИИ, МЫ ИХ ПУСТИЛИ ЛИШЬ ПОГРЕТЬСЯ! <br/> Дагестанцы относятся к коренному народу России,  <br/> нельзя путать Дагестанский народ с теми черножопыми чербанами которые ведут себя нагло наулицах Москвы. Вот в чем различие! <br/> Влади?мир Васи?льевич Квачко?в (род. 5 августа 1948,  <br/> посёлок Краскин;осетин
Гагаузия. Южная часть Республики Молдова. Турки, <b>болгары</b>, молдаване, наравне с гагаузами составляют население этой маленькой, но очень гостеприимной земли. Как и все южане, гагаузы любят долгие и обильные застолья. <br/>  <br/> Наряду с традиционными буджакскими явствами, гагаузская кухня содержит блюда европейской и молдавской кухни. Многие её ингредиенты взяты из турецкой кухни.Самым главным и любимым продуктом жителей Буджака – баранина. Ее здесь готовят по-особому, используя подзабытые народные рецепты и особые южные приправы, собранные и подготовленные собственноручно. Очень популярна шурпа, а именно наваристый суп из баранины с овощами и корнеплодами. Из болгарской кухни позаимствована запечённая ножка ягнёнка по-георгиевски. <br/>  <br/> Любят гагаузы красивые названия. Прислушайтесь: кывырма, булгур, манджя, гёзлемя, курбан, сарма, калля, кабаклы, геврек. Вкусно!;осетин
"Социальной ''бомбёжкой'' в РФ успешно занимается Мендель~Медведев. Боеприпасы поставляет Наебулина ЦБ РФ. Операция по развалу армии под кодовым названием ''табуреткин'' прошла успешно. Пенсионный фонд рассчитывает размер пенсии на уровне детского учреждения для <b><font color=\#E42217\"">дебилов</font></b>, в баллах. Батальон <b>жидов</b> ''Гайдар'' подорвал основы государственного фундамента развития обнулил накопления граждан РФ утроил колличество нищих и уничтожил промышленную отрасль. Чё, смешно? Ну недолго ржака будет длиться.""";азербайджанец
Купа Гениальный пишет:Палач пишет:спарк пишет: <br/> <br/>в Советское время--нормально относились. <br/>  <br/> <br/>Да ну нахрен? <br/> <br/>Меня всегда интересовало - почеу онный товарищ всё время на русско поёт? <br/> <br/>Ну, в принцпе ответ то я знаю.... <br/> <br/>Почему? <br/>  <br/> <br/>ПОтому что если он будет петь по чеченски - как его поймут <b>аварцы</b>, если по аварски  - как его поймут табаласарцы, а если по табаласарски - как поймут Лезгины? <br/> <br/>Агитация должна быть понятной. <br/> <br/>Так то этот чувачок виновен в очень большого числа людей;азербайджанец
Не дадим исчезнуть марийскому народу Вчера в Йошкар-Оле, перед Домом правительства Марий Эл, прошел митинг «Защита марийского народа от исчезновения, сохранение его традиций и культуры, защита наро...;азербот
[[id16436301|Анатолий], я очень рада что родилась Мусульманкой. <br/> Предоставь мне факты о непримеси русских и монголо-татар,достоверные конечно,а то мало ли,что на заборах пишут. <br/> Я живу в России и среди русских,поверь,я знаю о чем говорю.Опять же,есть НОРМАЛЬНЫЕ русские,а есть такие,как ты,которые ненавидят нас,чему нам наплевать.Важно,что ни один не подойдет и не скажет это <b>Чеченцу</b>. <br/> Так ты не ответил,что ты тут забыл,в ЧЕЧЕНСКОЙ ГРУППЕ?;америкашка
"[[club40399920|Спутник и Погром:] <br/>  <br/> Слово \ватник\"" очевидно превратилось в расисткое ругательство, а-ля \""жид\"" или \""чурка\"". Слово \""ватник\"" допустимо употреблять только в качестве самоиронии (\""Да, я ватник!\""). С людьми <b>нерусской</b> национальности, употребляющими слово \""ватник\"" в отношении русских, не следует общаться, желательно же их травить и всячески портить им жизнь.  <br/>  <br/> Русский, позволяющий в своем присутствии ругать \""вату\"", похож на еврея, терпящего употребление слова \""жид\"".  <br/>  <br/> Отдельно замечу, что наше издание негативные качества, приписываемые \""ватникам\"", всячески высмеивает, однако принципиально обходится без употребления слова \""ватник\"", поскольку это этническое ругательство, популярное в войсках воюющей с нами Украины. Русский не может его употреблять.  <br/>  <br/> Фраза же \""мы не против русских, мы против ватников\"" аналогична фразе \""мы не против евреев, мы против жидов\"".""";америкашка
"Новости ИТАР-ТАСС ООН: Норвегия, Финляндия и Швеция должны <b><font color=\#41A317\"">уважать</font></b> право <b>саамов</b> на землю и ресурсы  #новости  #вести""";уйгур
Конфуз произошел на концерте в поселке Фиагдон в Северной Осетии  <br/> онфуз произошел на концерте в поселке Фиагдон в Северной Осетии. Скандальным инцидентом закончились гастроли певицы Бьянки в Северной Осетии. Во время концерта 29-летней артистки в одном из ресторанов селения Фиагдон разгоряченный зритель метнул в девушку ботинком со своей ноги. Как выяснилось, таким способом <b>осетинский</b> <b>парень</b> выразил свое отношение к звезде, исполнявшей на сцене во время пения слишком откровенные танцы.;абхаз
"[[id28202832|Катюшка], чурки любят своих девушек и относятся к ним строго,только в постели почему то хотят видеть русских девушек.Ну и наши девочки есть неадекватные,готовые за сникерс лечь в кровать с черножопой мразью. Не подумай,что я националист, у меня куча друзей казахов,узбеков,<b>азербайджанцев</b>, но все они <b><font color=\#41A317\"">хорошие</font></b> люди. Дело не в нации,в каждой нации есть реально отморозки,а есть хорошие люди.""";абхаз
"Пошли втроем сестрами,в ближайшее КФС м.Новые Черемушки,решили поесть \остренького\"",заказали,едим-и вдруг к нам подсаживается русский мужчина,сесть негде было,мы не против,я ввиду своей своей воспитанности и возраста подвинулась,и тут началось-вопросы откуда мы,кто мы такие красивые с грамотной русской речью-сестренка все подробно рассказала,он процитировал нам Пушкина,в зале сидело много <b>азиатов</b>,дальше больше-он оказался пьяным,и конечно \""понеслось\"" у него-в итоге я его \""прогнала\""культурно,так он начал на весь зал орать,что калмыки \""такие сякие\"",сестренка не сдержалась,закатала рукава пиджака и с размаху врезала ему,другая еще вслед сумкой ударила,весь зал молчал,ни один мужчина не вступился,когда он угрожающе руками размахивал,все \""мужчины\""молча наблюдали.Вывод:1)зале не было калмыка мужика.2)мы калмычки себя в обиду не дадим,берегитесь""";абхаз
[[id54416534|Кира], дагестанского языка не существует начнем с этого, есть аварский, лезгинский, даргинский, кумыкский и другие языки Дагестана. Не ну а на что ты рассчитывала написав сюда. Тебе же никто не говорит разговаривай на английском, потому что он международный. Ты на русском далеко уедешь за пределами России?)) Во всём мире английский язык. Говори на нём. Почему же в группе где 80% <b>адыги</b>, я не могу говорить на родном языке? Если человек инородец, я напишу ему на другом языке. Никаких проблем. Считаю бессмысленным этот спор. Не учи адыгов как жить и на каком языке говорить, и они не пошлют тебя далеко и на долго. Мира тебе.;абхаз
